link,event_title,Location,Date,event_details
https://web.archive.org/web/20230118182612/https://www.conservative.ca/events/,Montréal Fundraising Event with Pierre Poilievre,"Villa Rosa, 1980 René Lévesque Ouest, Montréal, QC H3H 1R6","January 16th, 2023","January 16th from 7:30 – 9:00 PM ET; Villa Rosa, 1980 René Lévesque Ouest, Montréal, QC H3H 1R6; Ticket: $1700; Organizer: Agop Evereklian; [email protected]; Event in support of the Conservative Party of Canada.;"
https://web.archive.org/web/20230314152016/https://www.conservative.ca/events/,Vancouver Fundraiser with Pierre Poilievre,"837 W Hastings St, Vancouver, BC V6C 1B6","March 14th, 2023","Date: March 14th, 2023; Time: 7:30 PM – 9:30 PM PT; Location: 837 W Hastings St, Vancouver, BC V6C 1B6; Maximum donation: $1700; Event organized by Chief Opposition Whip Hon. Kerry-Lynne D. Findlay, PC, KC: [email protected];"
https://web.archive.org/web/20230314152016/https://www.conservative.ca/events/,North Vancouver Island Fundraiser with Pierre Poilievre,"1441 East Island Hwy, Nanoose Bay, BC","Wednesday March 15th, 2023","Date: Wednesday March 15th, 2023; Time: 5:30 pm – 7:30 PM PT; Location: 1441 East Island Hwy, Nanoose Bay, BC; Maximum donation $1700; Event organized: Kris McNichol: [email protected]; All tickets must be purchased prior to March 15 at 4:00PM PT;"
https://web.archive.org/web/20230316034203/https://www.conservative.ca/events/,Vancouver Fundraiser with Pierre Poilievre,"837 W Hastings St, Vancouver, BC V6C 1B6","March 14th, 2023","Date: March 14th, 2023; Time: 7:30 PM – 9:30 PM PT; Location: 837 W Hastings St, Vancouver, BC V6C 1B6; Maximum donation: $1700; Event organized by Chief Opposition Whip Hon. Kerry-Lynne D. Findlay, PC, KC: [email protected];"
https://web.archive.org/web/20230316034203/https://www.conservative.ca/events/,North Vancouver Island Fundraiser with Pierre Poilievre,"1441 East Island Hwy, Nanoose Bay, BC","Wednesday March 15th, 2023","Date: Wednesday March 15th, 2023; Time: 5:30 pm – 7:30 PM PT; Location: 1441 East Island Hwy, Nanoose Bay, BC; Maximum donation $1700; Event organized: Kris McNichol: [email protected]; All tickets must be purchased prior to March 15 at 4:00PM PT;"
https://web.archive.org/web/20230405174355/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre,"Banff, AB"," April 11, 2023","Date:  April 11, 2023; Time: 5:30 – 8:00 pm MT; Location: Banff, AB; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230405174355/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre,"Red Deer, AB"," April 12, 2023","Date:  April 12, 2023; Time: 6:00 pm – 8:00 pm MT; Location: Red Deer, AB; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230405174355/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre,"Edmonton, AB"," April 13, 2023","Date:  April 13, 2023; Time: 5:30 – 8:00 pm MT; Location: Edmonton, AB; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230417152157/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre in support of the Conservative Party of Canada.,"Arlington Estate, Vaughn, ON  L4H 4X1"," April 20, 2023","Date:  April 20, 2023; Time: 5:30 –  8:00 pm ET; Location: Arlington Estate, Vaughn, ON  L4H 4X1; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230502055235/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre in support of the Conservative Party of Canada.,"Arlington Estate, Vaughn, ON  L4H 4X1"," April 20, 2023","Date:  April 20, 2023; Time: 5:30 –  8:00 pm ET; Location: Arlington Estate, Vaughn, ON  L4H 4X1; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230502055235/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre in support of the Conservative Party of Canada.,"Private Residence, Mississauga, ON L5H 3M4","April 27, 2023","Date: April 27, 2023; Time: 5:30 – 8:00 pm ET; Location: Private Residence, Mississauga, ON L5H 3M4; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230506154547/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre in support of the Conservative Party of Canada.,"Arlington Estate, Vaughn, ON  L4H 4X1"," April 20, 2023","Date:  April 20, 2023; Time: 5:30 –  8:00 pm ET; Location: Arlington Estate, Vaughn, ON  L4H 4X1; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230506154547/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre in support of the Conservative Party of Canada.,"Private Residence, Mississauga, ON L5H 3M4","April 27, 2023","Date: April 27, 2023; Time: 5:30 – 8:00 pm ET; Location: Private Residence, Mississauga, ON L5H 3M4; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230509181046/https://www.conservative.ca/events/,Join us for a Bring it Home fundraiser with Pierre Poilievre in support of the Conservative Party of Canada.,"Arlington Estate, Vaughn, ON  L4H 4X1"," April 20, 2023","Date:  April 20, 2023; Time: 5:30 –  8:00 pm ET; Location: Arlington Estate, Vaughn, ON  L4H 4X1; Maximum donation $1700; For more information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230529144555/https://www.conservative.ca/events/,Fundraiser with Pierre Poilievre in support of the Conservative Party of Canada,"161 Bay Street, Toronto, ON  M5J 2S1","Date:  May 18th, 2023","Date:  May 18th, 2023; Time: 5:00 – 7:00 pm; Location: 161 Bay Street, Toronto, ON  M5J 2S1; Maximum donation $1700; For further information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230605211215/https://www.conservative.ca/events/,Join us for a fundraiser with Pierre Poilievre in support of the Conservative Party of Canada,"11191 ON-27, Kleinburg, ON L0J 1C0","Date:  June 8th, 2023","Date:  June 8th, 2023; Time: 5:30 – 8:00 pm ET; Location: 11191 ON-27, Kleinburg, ON L0J 1C0; Maximum donation $1700; For further information or to register for the event, please contact [email protected].;"
https://web.archive.org/web/20230731220540/https://www.conservative.ca/events/,Axe the Tax Rally with Pierre Poilievre,"83 Huron St, Sault Ste. Marie, ON P6A 5P4","Thursday, July 27th, 2023","Location: The Machine Shop; 83 Huron St, Sault Ste. Marie, ON P6A 5P4; Date: Thursday, July 27th, 2023; Doors open 12:30pm; Register Here;"
https://web.archive.org/web/20230731220540/https://www.conservative.ca/events/,Axe the Tax Rally with Pierre Poilievre,"Radisson Hotel Sudbury (Palladium Ballroom), 85 Ste Anne Road, Sudbury, ON P3C 5T6","July 27th, 2023",Register Here;
https://web.archive.org/web/20230731220540/https://www.conservative.ca/events/,Axe the Tax Rally with Pierre Poilievre,"Best Western North Bay Hotel & Conference Centre (Regency Ballroom), 700 Lakeshore Dr, North Bay, ON P1A 2G4","Friday, July 28th, 2023","Location: Best Western North Bay Hotel & Conference Centre (Regency Ballroom); 700 Lakeshore Dr, North Bay, ON P1A 2G4; Date: Friday, July 28th, 2023; Guest Arrival: 18:00; Register Here;"
https://web.archive.org/web/20230731220540/https://www.conservative.ca/events/,Jean Charest at the Albany Club,"The Albany Club – 91 King St E, Toronto, ON, M5C 1G3","Tuesday August 15, 2023","Location: The Albany Club – 91 King St E, Toronto, ON, M5C 1G3; Date: Tuesday August 15, 2023; Time: 12:00 PM;"
https://web.archive.org/web/20230731220540/https://www.conservative.ca/events/,Jean Charest at the Rogers Centre,"Rogers Centre – 1 Blue Jays Way, Toronto, ON, M5V 1J1","Tuesday August 15, 2023","Location: Rogers Centre – 1 Blue Jays Way, Toronto, ON, M5V 1J1; Date: Tuesday August 15, 2023; Time: 7:00 PM;"
https://web.archive.org/web/20230801134216/https://www.conservative.ca/events/,Axe the Tax Rally with Pierre Poilievre,"The Machine Shop, 83 Huron St, Sault Ste. Marie, ON P6A 5P4","Thursday, July 27th, 2023","Location: The Machine Shop; 83 Huron St, Sault Ste. Marie, ON P6A 5P4; Date: Thursday, July 27th, 2023; Doors open 12:30pm; Register Here;"
https://web.archive.org/web/20230801134216/https://www.conservative.ca/events/,Axe the Tax Rally with Pierre Poilievre,"Radisson Hotel Sudbury (Palladium Ballroom), 85 Ste Anne Road, Sudbury, ON P3C 5T6","July 27th, 2023",Register Here;
https://web.archive.org/web/20230801134216/https://www.conservative.ca/events/,Axe the Tax Rally with Pierre Poilievre,"Best Western North Bay Hotel & Conference Centre (Regency Ballroom), 700 Lakeshore Dr, North Bay, ON P1A 2G4","Friday, July 28th, 2023","Location: Best Western North Bay Hotel & Conference Centre (Regency Ballroom); 700 Lakeshore Dr, North Bay, ON P1A 2G4; Date: Friday, July 28th, 2023; Guest Arrival: 18:00; Register Here;"
https://web.archive.org/web/20230801134216/https://www.conservative.ca/events/,Jean Charest at the Albany Club,"The Albany Club – 91 King St E, Toronto, ON, M5C 1G3","Tuesday August 15, 2023","Location: The Albany Club – 91 King St E, Toronto, ON, M5C 1G3; Date: Tuesday August 15, 2023; Time: 12:00 PM;"
https://web.archive.org/web/20230801134216/https://www.conservative.ca/events/,Jean Charest at the Rogers Centre,"Rogers Centre – 1 Blue Jays Way, Toronto, ON, M5V 1J1","Tuesday August 15, 2023","Location: Rogers Centre – 1 Blue Jays Way, Toronto, ON, M5V 1J1; Date: Tuesday August 15, 2023; Time: 7:00 PM;"
https://web.archive.org/web/20230802023841/https://www.conservative.ca/events/,Axe the Tax Rally with Pierre Poilievre," The Machine Shop, 83 Huron St, Sault Ste. Marie, ON P6A 5P4","Thursday, July 27th, 2023","Location: The Machine Shop; 83 Huron St, Sault Ste. Marie, ON P6A 5P4; Date: Thursday, July 27th, 2023; Doors open 12:30pm; Register Here;"
https://web.archive.org/web/20230802023841/https://www.conservative.ca/events/,Axe the Tax Rally with Pierre Poilievre,"Radisson Hotel Sudbury (Palladium Ballroom), 85 Ste Anne Road, Sudbury, ON P3C 5T6","July 27th, 2023",Register Here;
https://web.archive.org/web/20230802023841/https://www.conservative.ca/events/,Axe the Tax Rally with Pierre Poilievre," Best Western North Bay Hotel & Conference Centre (Regency Ballroom), 700 Lakeshore Dr, North Bay, ON P1A 2G4","Friday, July 28th, 2023","Location: Best Western North Bay Hotel & Conference Centre (Regency Ballroom); 700 Lakeshore Dr, North Bay, ON P1A 2G4; Date: Friday, July 28th, 2023; Guest Arrival: 18:00; Register Here;"
https://web.archive.org/web/20230802023841/https://www.conservative.ca/events/,Jean Charest at the Albany Club,"The Albany Club – 91 King St E, Toronto, ON, M5C 1G3","Tuesday August 15, 2023","Location: The Albany Club – 91 King St E, Toronto, ON, M5C 1G3; Date: Tuesday August 15, 2023; Time: 12:00 PM;"
https://web.archive.org/web/20230802023841/https://www.conservative.ca/events/,Jean Charest at the Rogers Centre,"Rogers Centre – 1 Blue Jays Way, Toronto, ON, M5V 1J1","Tuesday August 15, 2023","Location: Rogers Centre – 1 Blue Jays Way, Toronto, ON, M5V 1J1; Date: Tuesday August 15, 2023; Time: 7:00 PM;"
https://web.archive.org/web/20230818152249/https://www.conservative.ca/events/,An evening with Pierre Poilievre in support of the Conservative Party of Canada,"Ashburn Golf Course, 3250 Joseph Howe Drive, Halifax NS B3L 4G1","Date:  August 15th, 2023","Date:  August 15th, 2023; Location: Ashburn Golf Course, 3250 Joseph Howe Drive, Halifax NS B3L 4G1; Time: 6:00 PM; Max donation: $1700; For more information or to register, please contact [email protected].; Let’s bring it home.;"
https://web.archive.org/web/20230818152249/https://www.conservative.ca/events/,Jean Charest at the Albany Club in support of the Jean Charest Leadership Campaign,"The Albany Club – 91 King St E, Toronto, ON, M5C 1G3","Tuesday August 15, 2023","Location: The Albany Club – 91 King St E, Toronto, ON, M5C 1G3; Date: Tuesday August 15, 2023; Time: 12:00 PM; Prominent Attendee: Jean Charest; Contribution Amount: $500; For more information, contact: Ian Sherman (Financial Agent – [email protected]) and Chris Rougier (event details – [email protected]);"
https://web.archive.org/web/20230818152249/https://www.conservative.ca/events/,Jean Charest at the Rogers Centre in support of the Jean Charest Leadership Campaign,"Rogers Centre – 1 Blue Jays Way, Toronto, ON, M5V 1J1","Tuesday August 15, 2023","Location: Rogers Centre – 1 Blue Jays Way, Toronto, ON, M5V 1J1; Date: Tuesday August 15, 2023; Time: 7:00 PM; Prominent Attendee: Jean Charest; Contribution Amount: $0 (Donor Appreciation/Thank You for top campaign donors); For more information, contact: Ian Sherman (Financial Agent – [email protected]) and Chris Rougier (event details – [email protected]);"
https://web.archive.org/web/20230818152249/https://www.conservative.ca/events/,An evening with Pierre Poilievre in support of the Conservative Party of Canada,"Unit 402-180 James Street South Hamilton, Ontario L8P 4V1","Date:  August 17th, 2023","Date:  August 17th, 2023; Location: Unit 402-180 James Street South Hamilton, Ontario L8P 4V1; Time: 5:00 PM; Max donation: $1700; For more information or to register, please contact [email protected].; Let’s bring it home.;"
https://web.archive.org/web/20230818152249/https://www.conservative.ca/events/,An afternoon with Pierre Poilievre in support of the Conservative Party of Canada,18 Leone Lane Brampton ON L6P 0K9,"Date:  August 19th, 2023","Date:  August 19th, 2023; Location: 18 Leone Lane Brampton ON L6P 0K9; Time: 2:00 PM; Max donation: $1700; For more information or to register, please contact [email protected].; Let’s bring it home.;"
https://web.archive.org/web/20230818152249/https://www.conservative.ca/events/,Axe the Tax Rally on the Island with Pierre Poilievre,"Cymbria Lions Club, 2184 Church Rd, New Glasgow, PE C0A 1N0","August 16, 2023","Cymbria Lions Club, 2184 Church Rd, New Glasgow, PE C0A 1N0; Doors open at 6 PM; Wednesday, August 16; Register Here;"
https://web.archive.org/web/20230818152249/https://www.conservative.ca/events/,Bring It Home Rally in Campbell River with Pierre Poilievre,"Campbell River Sportsplex 1800 S Alder St, Campbell River, BC V9W 7J1 Doors open 6PM","Date:  Monday August 21, 2023","Date:  Monday August 21, 2023; Location: Campbell River Sportsplex; 1800 S Alder St, Campbell River, BC V9W 7J1; Doors open 6PM; ; Register Here;"
https://web.archive.org/web/20230818152249/https://www.conservative.ca/events/,Bring It Home Rally in Smithers with Pierre Poilievre,"Prestige Hudson Bay Lodge Smithers, 3251 East Highway 16, Smithers, BC V0J 2N0","August 23, 2023","Prestige Hudson Bay Lodge Smithers, 3251 East Highway 16; Smithers, BC V0J 2N0; Wednesday August 23; Doors open 12:30pm; Register Here;"
https://web.archive.org/web/20230818152249/https://www.conservative.ca/events/,Bring It Home Rally in the Yukon with Pierre Poilievre,"Grey Mountain Room – Mount Mcintyre Recreation Centre, 1 Sumanik Dr, Whitehorse, YT Y1A 6T1 ","August 2, 2023","Grey Mountain Room – Mount Mcintyre Recreation Centre, 1 Sumanik Dr, Whitehorse, YT Y1A 6T1; Doors open at 6 PM; Thursday August 24; Register Here;"
https://web.archive.org/web/20230818152249/https://www.conservative.ca/events/,Tibetan Community Meet & Greet with Pierre Poilievre,"245 West Beaver Creek Road, Unit 5A Richmond Hill, ON L4B 1L1 ","Saturday, August 26th","Location: 245 West Beaver Creek Road, Unit 5A; Richmond Hill, ON L4B 1L1; Date: Saturday, August 26th; Doors open 9:30 AM; Register Here;"
https://web.archive.org/web/20230818152249/https://www.conservative.ca/events/,Persian Community Meet & Greet with Pierre Poilievre,"246 West Beaver Creek Road, Unit 5A Richmond Hill, ON L4B 1L1","Saturday, August 26th","Location: 245 West Beaver Creek Road, Unit 5A; Richmond Hill, ON L4B 1L1; Date: Saturday, August 26th; Doors open 11:45 AM; ; Register Here;"
https://web.archive.org/web/20230818152249/https://www.conservative.ca/events/,Chinese Community Meet & Greet with Pierre Poilievre,"247 West Beaver Creek Road, Unit 5A Richmond Hill, ON L4B 1L1","Saturday, August 26th","Location: 245 West Beaver Creek Road, Unit 5A; Richmond Hill, ON L4B 1L1; Date: Saturday, August 26th; Doors open 2:00 PM; Register Here;"